riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
chr6:29501906-?	9E-6	-	NR	2.0894	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:29688285-?	5E-6	-	NR	1.3623	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:30419078-?	8E-6	-	NR	2.6704	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:35034754-?	1E-6	-	NR	0.7942	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:67641300-?	3E-6	-	NR	0.816	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:91444760-?	8E-6	-	NR	0.0381	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr6:95063956-?	6E-6	-	NR	2.5016	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:2151259-?	9E-6	-	NR	0.1142	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:36078352-?	1E-6	-	NR	0.7837	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:44302139-?	4E-6	-	NR	1.7414	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:106055504-?	7E-6	-	NR	0.7631	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:116288624-?	3E-6	-	NR	0.752	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:116598735-?	2E-6	-	NR	1.3458	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:124475911-?	7E-6	-	NR	0.3832	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr7:124781069-?	7E-6	-	NR	0.3953	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:99823629-?	4E-6	-	NR	0.1624	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:163647045-?	4E-6	-	NR	0.4838	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:164252200-?	4E-8	-	NR	0.5056	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:192951193-?	3E-10	-	NR	0.5742	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:203005829-?	6E-6	-	NR	0.6713	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:203518230-?	5E-6	-	NR	0.0276	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:233807174-?	2E-6	-	NR	0.0669	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr1:237966890-?	1E-5	-	NR	1.235	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:21088258-?	5E-6	-	NR	0.75	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:75091950-?	8E-6	-	NR	0.1487	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:137163904-?	3E-6	-	NR	1.3187	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:166879782-?	2E-6	-	NR	1.2687	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:188834876-?	1E-6	-	NR	1.4673	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:206261614-?	7E-6	-	NR	5.2482	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:214926493-?	2E-6	-	NR	0.5286	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:215973046-?	4E-6	-	NR	0.1529	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:217322409-?	1E-5	-	NR	1.4374	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
chr2:230056534-?	4E-6	-	NR	1.5492	-	-	-	"Myocardial infarction"	"myocardial infarction"	-	GCST90432174	-	38072966	"Al-Ali AK"
rs9349379-?	2E-55	-	NR	0.8885	-	-	PHACTR1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:12903725	38072966	"Al-Ali AK"
rs62389460-?	5E-9	-	NR	1.0727	-	-	PHACTR1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:13098070	38072966	"Al-Ali AK"
rs10806918-?	8E-6	-	NR	0.9662	-	-	MBOAT1,E2F3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:20396722	38072966	"Al-Ali AK"
rs7766436-?	3E-6	-	NR	0.9628	-	-	CASC15	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:22598030	38072966	"Al-Ali AK"
rs116186273-?	3E-6	-	NR	0.9136	-	-	ZSCAN31,ZKSCAN3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:28352562	38072966	"Al-Ali AK"
rs3869098-?	3E-7	-	NR	0.9603	-	-	MUC22	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:31034675	38072966	"Al-Ali AK"
rs3094680-?	1E-8	-	NR	0.9557	-	-	USP8P1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:31276118	38072966	"Al-Ali AK"
rs2523485-?	8E-6	-	NR	0.9485	-	-	MICA-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:31383258	38072966	"Al-Ali AK"
rs3993747-?	2E-6	-	NR	0.9633	-	-	UQCRHP1,AIF1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:31612730	38072966	"Al-Ali AK"
rs3128759-?	5E-8	-	NR	0.9568	-	-	C2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:31918153	38072966	"Al-Ali AK"
rs3763317-?	2E-6	-	NR	0.9639	-	-	TSBP1-AS1,HLA-DRA	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:32409011	38072966	"Al-Ali AK"
rs2621396-?	4E-6	-	NR	0.9606	-	-	HLA-DOB,HLA-DQB2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:32785136	38072966	"Al-Ali AK"
rs2814986-?	3E-7	-	NR	0.9459	-	-	ILRUN	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:34634908	38072966	"Al-Ali AK"
rs2764203-?	3E-8	-	NR	0.9425	-	-	RPS10P13,ATP6V1FP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:34741124	38072966	"Al-Ali AK"
rs16894959-?	4E-8	-	NR	0.9425	-	-	BLTP3A	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:34857885	38072966	"Al-Ali AK"
rs6931750-?	6E-6	-	NR	1.0373	-	-	RPS15AP19,FKBP5	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:35557852	38072966	"Al-Ali AK"
rs56336142-?	5E-14	-	NR	1.0723	-	-	KCNK5,SAYSD1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:39166323	38072966	"Al-Ali AK"
rs4711750-?	5E-7	-	NR	0.962	-	-	VEGFA,LINC02537	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:43789345	38072966	"Al-Ali AK"
rs1330633-?	3E-7	-	NR	0.9264	-	-	RAB23,PRIM2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:57284173	38072966	"Al-Ali AK"
rs194937-?	2E-6	-	NR	0.9539	-	-	TENT5A	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:81732305	38072966	"Al-Ali AK"
rs9361866-?	1E-6	-	NR	1.037	-	-	LINC02542	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:81882851	38072966	"Al-Ali AK"
rs12208556-?	1E-7	-	NR	1.0505	-	-	UFL1-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:96455610	38072966	"Al-Ali AK"
rs2983896-?	3E-8	-	NR	1.0503	-	-	FHL5	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:96581995	38072966	"Al-Ali AK"
rs9486719-?	7E-9	-	NR	1.054	-	-	FHL5	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:96612248	38072966	"Al-Ali AK"
rs6933477-?	9E-6	-	NR	0.9679	-	-	RNU4-35P,RNU4-76P	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:121498042	38072966	"Al-Ali AK"
rs12274437-?	3E-6	-	NR	0.9261	-	-	PTPRJ,NUP160	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:47864989	38072966	"Al-Ali AK"
rs3741380-?	6E-6	-	NR	0.9662	-	-	EHBP1L1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:65581592	38072966	"Al-Ali AK"
rs606452-?	2E-7	-	NR	0.9469	-	-	SERPINH1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:75565133	38072966	"Al-Ali AK"
rs61908736-?	5E-8	-	NR	0.9539	-	-	PPIAP43,ARHGAP42-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:100677971	38072966	"Al-Ali AK"
rs10895508-?	4E-8	-	NR	0.9541	-	-	PDGFDDN	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:103676552	38072966	"Al-Ali AK"
rs2019090-?	2E-19	-	NR	1.0745	-	-	PDGFDDN	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:103798234	38072966	"Al-Ali AK"
rs74733106-?	7E-6	-	NR	0.8667	-	-	LINC02702,LINC02151	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:116608826	38072966	"Al-Ali AK"
rs964184-?	1E-6	-	NR	1.0505	-	-	ZPR1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:116778201	38072966	"Al-Ali AK"
rs3782772-?	6E-6	-	NR	0.9627	-	-	TSPAN9	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:3266466	38072966	"Al-Ali AK"
rs10841443-?	2E-10	-	NR	0.9509	-	-	LINC02468,TCP1P3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:20067099	38072966	"Al-Ali AK"
rs7137258-?	9E-11	-	NR	0.903	-	-	FLJ12825,FAM242C	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:54118380	38072966	"Al-Ali AK"
rs74777962-?	6E-6	-	NR	0.959	-	-	DUSP6,MRPS6P4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:89342121	38072966	"Al-Ali AK"
rs10858890-?	2E-9	-	NR	0.9502	-	-	POC1B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:89513389	38072966	"Al-Ali AK"
rs2681472-?	5E-12	-	NR	0.9384	-	-	ATP2B1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:89615182	38072966	"Al-Ali AK"
rs17192128-?	4E-6	-	NR	1.0854	-	-	ATP2B1-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:89779206	38072966	"Al-Ali AK"
rs10778546-?	5E-6	-	NR	1.0352	-	-	ABTB3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:107358300	38072966	"Al-Ali AK"
rs4766517-?	2E-6	-	NR	1.038	-	-	MYL2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:110921908	38072966	"Al-Ali AK"
rs10849925-?	3E-7	-	NR	0.958	-	-	CUX2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111057714	38072966	"Al-Ali AK"
rs11065822-?	1E-7	-	NR	0.9558	-	-	CUX2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111162330	38072966	"Al-Ali AK"
rs1237851118-?	2E-14	-	NR	0.94	-	-	CUX2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111270655	38072966	"Al-Ali AK"
rs10774625-?	5E-23	-	NR	1.0816	-	-	ATXN2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111472415	38072966	"Al-Ali AK"
rs11065979-?	3E-18	-	NR	0.932	-	-	ATXN2-AS	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111621753	38072966	"Al-Ali AK"
rs640783-?	2E-6	-	NR	1.0458	-	-	ACAD10	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111730246	38072966	"Al-Ali AK"
rs11513729-?	3E-16	-	NR	0.935	-	-	ALDH2,MAPKAPK5-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111835695	38072966	"Al-Ali AK"
rs7959619-?	8E-7	-	NR	1.048	-	-	TMEM116	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:111938793	38072966	"Al-Ali AK"
rs10828669-?	2E-6	-	NR	0.9634	-	-	KIAA1217	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:24541142	38072966	"Al-Ali AK"
rs2505083-?	2E-9	-	NR	0.956	-	-	JCAD	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:30046193	38072966	"Al-Ali AK"
rs475616-?	7E-6	-	NR	0.9659	-	-	RNU6-598P,JCAD	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:30207976	38072966	"Al-Ali AK"
rs1870635-?	1E-14	-	NR	0.9424	-	-	LINC00841,LINC03089	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:43985246	38072966	"Al-Ali AK"
rs2624691-?	1E-10	-	NR	1.0486	-	-	LINC00841,LINC03089	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:44092409	38072966	"Al-Ali AK"
rs589655-?	1E-15	-	NR	1.0936	-	-	LINC00841,LINC03089	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:44249867	38072966	"Al-Ali AK"
rs61863928-?	2E-6	-	NR	0.9625	-	-	ALDH7A1P4,LINC02929	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:62689789	38072966	"Al-Ali AK"
rs36080042-?	2E-6	-	NR	0.9101	-	-	MRPL35P2,RPL7AP50	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:63667025	38072966	"Al-Ali AK"
rs17680741-?	5E-7	-	NR	1.0415	-	-	TSPAN14	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:80491758	38072966	"Al-Ali AK"
rs118106033-?	6E-6	-	NR	0.9035	-	-	LDB3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:86723770	38072966	"Al-Ali AK"
rs1412445-?	4E-20	-	NR	0.9312	-	-	LIPA	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:89243047	38072966	"Al-Ali AK"
rs10748711-?	6E-6	-	NR	1.0345	-	-	CRTAC1,R3HCC1L	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:98103792	38072966	"Al-Ali AK"
rs11189523-?	5E-6	-	NR	1.0342	-	-	LOXL4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:98251320	38072966	"Al-Ali AK"
rs17115100-?	7E-9	-	NR	1.0694	-	-	CYP17A1,WBP1L	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:102831636	38072966	"Al-Ali AK"
rs11191515-?	1E-8	-	NR	1.0726	-	-	CNNM2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:103016770	38072966	"Al-Ali AK"
rs79780963-?	1E-8	-	NR	1.0724	-	-	NT5C2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:103192742	38072966	"Al-Ali AK"
rs4918072-?	3E-6	-	NR	0.9621	-	-	SLK,STN1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:103933886	38072966	"Al-Ali AK"
rs10787526-?	7E-6	-	NR	1.034	-	-	AFAP1L2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:114368021	38072966	"Al-Ali AK"
rs4752700-?	5E-6	-	NR	0.9664	-	-	HTRA1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:122478096	38072966	"Al-Ali AK"
rs12574034-?	6E-6	-	NR	1.0374	-	-	RIC8A	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:212262	38072966	"Al-Ali AK"
rs11601507-?	2E-6	-	NR	0.9348	-	-	TRIM5	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:5679844	38072966	"Al-Ali AK"
rs360153-?	8E-7	-	NR	0.9639	-	-	SWAP70	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:9740727	38072966	"Al-Ali AK"
rs1316233053-?	4E-6	-	NR	0.9225	-	-	SPI1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:47373659	38072966	"Al-Ali AK"
rs11604233-?	8E-6	-	NR	0.9259	-	-	CELF1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:47547624	38072966	"Al-Ali AK"
rs7105517-?	2E-6	-	NR	0.9215	-	-	FNBP4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	11:47754132	38072966	"Al-Ali AK"
rs3918226-?	2E-13	-	NR	0.891	-	-	NOS3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	7:150993088	38072966	"Al-Ali AK"
rs10226143-?	6E-6	-	NR	0.9596	-	-	RBM33	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	7:155749714	38072966	"Al-Ali AK"
rs1115784-?	2E-6	-	NR	0.9617	-	-	NAT2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:18397900	38072966	"Al-Ali AK"
rs7011846-?	6E-11	-	NR	0.8647	-	-	LPL	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:19928145	38072966	"Al-Ali AK"
rs76722925-?	3E-10	-	NR	1.0945	-	-	RPL30P9,LPL	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:20073987	38072966	"Al-Ali AK"
rs112632112-?	2E-7	-	NR	0.9264	-	-	BMP1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:22187607	38072966	"Al-Ali AK"
rs2002465-?	8E-6	-	NR	0.9581	-	-	RPL31P41,CYP7B1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:65018081	38072966	"Al-Ali AK"
rs73333877-?	2E-7	-	NR	0.9541	-	-	GYG1P1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:73906456	38072966	"Al-Ali AK"
rs11778250-?	7E-6	-	NR	0.9597	-	-	INTS8	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:94830883	38072966	"Al-Ali AK"
rs896848-?	4E-6	-	NR	0.9573	-	-	NDUFAF6	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:94969582	38072966	"Al-Ali AK"
rs4734875-?	8E-6	-	NR	1.0392	-	-	ZFPM2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:105542509	38072966	"Al-Ali AK"
rs2954021-?	2E-11	-	NR	1.0503	-	-	TRIB1AL	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:125469835	38072966	"Al-Ali AK"
rs138975447-?	1E-6	-	NR	0.8281	-	-	KHDRBS3,RNU1-35P	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	8:135738627	38072966	"Al-Ali AK"
rs10511587-?	6E-6	-	NR	1.0375	-	-	LINC00583,PES1P2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:13980585	38072966	"Al-Ali AK"
rs896655-?	7E-8	-	NR	1.0416	-	-	MTAP,RN7SL151P	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:21706572	38072966	"Al-Ali AK"
rs11523031-?	7E-11	-	NR	1.0504	-	-	MTAP	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:21843843	38072966	"Al-Ali AK"
rs1479299386-?	1E-62	-	NR	0.88	-	-	CDKN2B-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:21997874	38072966	"Al-Ali AK"
rs4977574-?	5E-128	-	NR	0.8381	-	-	CDKN2B-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:22098575	38072966	"Al-Ali AK"
rs7027092-?	2E-6	-	NR	0.9618	-	-	FGD3,SUSD3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:93050425	38072966	"Al-Ali AK"
rs4744243-?	6E-6	-	NR	0.967	-	-	FAM120A	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:93477942	38072966	"Al-Ali AK"
rs4363261-?	3E-6	-	NR	0.9636	-	-	RNU6-492P,LINC01509	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:107470393	38072966	"Al-Ali AK"
rs1967604-?	1E-9	-	NR	1.0521	-	-	RNU6-996P,RNU6-1064P	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:107768043	38072966	"Al-Ali AK"
rs7025486-?	6E-8	-	NR	0.9552	-	-	DAB2IP	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:121660124	38072966	"Al-Ali AK"
rs2519093-?	4E-19	-	NR	0.9186	-	-	ABO	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	9:133266456	38072966	"Al-Ali AK"
rs7916879-?	5E-7	-	NR	0.9625	-	-	CDC123,RN7SL198P	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	10:12258791	38072966	"Al-Ali AK"
rs17696736-?	7E-18	-	NR	0.9338	-	-	NAA25	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:112049014	38072966	"Al-Ali AK"
rs11066188-?	2E-16	-	NR	0.9352	-	-	HECTD4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:112172910	38072966	"Al-Ali AK"
rs7977534-?	1E-6	-	NR	1.04	-	-	HECTD4	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:112280116	38072966	"Al-Ali AK"
rs11066320-?	1E-15	-	NR	1.0673	-	-	PTPN11	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:112468611	38072966	"Al-Ali AK"
rs1169288-?	2E-11	-	NR	0.9481	-	-	HNF1A-AS1,HNF1A	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:120978847	38072966	"Al-Ali AK"
rs7133378-?	3E-6	-	NR	1.0381	-	-	CCDC92,DNAH10	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:123924955	38072966	"Al-Ali AK"
rs11057779-?	1E-6	-	NR	0.9394	-	-	NCOR2,SCARB1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:124721341	38072966	"Al-Ali AK"
rs11057837-?	2E-8	-	NR	0.9307	-	-	SCARB1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:124827174	38072966	"Al-Ali AK"
rs117291831-?	8E-6	-	NR	0.9017	-	-	LINC00944,NDUFA5P6	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	12:126561421	38072966	"Al-Ali AK"
rs9591012-?	3E-8	-	NR	1.0448	-	-	N4BP2L2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:32484196	38072966	"Al-Ali AK"
rs9595903-?	1E-7	-	NR	1.0428	-	-	PDS5B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:32608003	38072966	"Al-Ali AK"
rs61945198-?	2E-6	-	NR	1.0367	-	-	LINC00423,PDS5B	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:32797780	38072966	"Al-Ali AK"
rs1854259-?	7E-7	-	NR	0.9568	-	-	SMAD9	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:36897920	38072966	"Al-Ali AK"
rs8000794-?	4E-6	-	NR	1.0348	-	-	SLC15A1,DOCK9	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:98782556	38072966	"Al-Ali AK"
rs11617955-?	1E-13	-	NR	1.0958	-	-	COL4A1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:110165755	38072966	"Al-Ali AK"
rs11619113-?	2E-8	-	NR	0.9377	-	-	COL4A1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:110266313	38072966	"Al-Ali AK"
rs9515203-?	4E-13	-	NR	1.0661	-	-	COL4A2	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	13:110397276	38072966	"Al-Ali AK"
rs17393098-?	8E-6	-	NR	0.9068	-	-	NPAS3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	14:33556024	38072966	"Al-Ali AK"
rs10151752-?	4E-6	-	NR	1.0356	-	-	ARMH4,PSMA3-AS1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	14:58282708	38072966	"Al-Ali AK"
rs117642402-?	9E-6	-	NR	0.8881	-	-	PRKCH	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	14:61474300	38072966	"Al-Ali AK"
rs75113816-?	1E-5	-	NR	1.0865	-	-	SIPA1L1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	14:71699547	38072966	"Al-Ali AK"
rs7145262-?	8E-9	-	NR	0.957	-	-	HHIPL1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	14:99659384	38072966	"Al-Ali AK"
rs72743461-?	2E-10	-	NR	1.0595	-	-	SMAD3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	15:67149412	38072966	"Al-Ali AK"
rs9944214-?	8E-6	-	NR	1.0364	-	-	LOXL1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	15:73939516	38072966	"Al-Ali AK"
rs34933034-?	6E-8	-	NR	0.9434	-	-	CSK	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	15:74787133	38072966	"Al-Ali AK"
rs1591805-?	3E-6	-	NR	1.0356	-	-	CENPW,MIR588	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:126395918	38072966	"Al-Ali AK"
rs7740107-?	9E-6	-	NR	0.9629	-	-	L3MBTL3	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:130053316	38072966	"Al-Ali AK"
rs12203224-?	7E-10	-	NR	1.0489	-	-	TARID	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:133780356	38072966	"Al-Ali AK"
rs2327426-?	6E-19	-	NR	1.0726	-	-	TARID	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:133881552	38072966	"Al-Ali AK"
rs62434120-?	1E-7	-	NR	1.0722	-	-	PLEKHG1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:150671234	38072966	"Al-Ali AK"
rs9457761-?	8E-17	-	NR	0.7509	-	-	MAS1,PNLDC1	"Myocardial infarction"	"myocardial infarction"	-	GCST90432175	6:159871571	38072966	"Al-Ali AK"
